loss,optimizer,lstm_len,dropout,test_accuracy,male_recall,female_recall,male_precision,female_precision,male_true,female_true,male_predict,female_predict
binary_crossentropy,nadam,256,0.5,0.7846200060078101,0.78725962, 0.78198198,0.78302451, 0.78623188,1664, 1665,1673, 1656
binary_crossentropy,nadam,256,0.4,0.7948332832682488,0.78365385, 0.80600601,0.80147511, 0.78848414,1664, 1665,1627, 1702
binary_crossentropy,nadam,256,0.45,0.7978371883448483,0.74338942, 0.85225225,0.83412003, 0.76868906,1664, 1665,1483, 1846
binary_crossentropy,nadam,128,0.5,0.7810153199158907,0.79507212, 0.76696697,0.77323203, 0.78924598,1664, 1665,1711, 1618
binary_crossentropy,nadam,128,0.4,0.78552117753079,0.77223558, 0.7987988 ,0.79320988, 0.77823288,1664, 1665,1620, 1709
